Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample1,Bangladesh,NA,NA,0,-5.92067465,-40.41868572
Sample2,Bangladesh,NA,NA,0,-4.909664777,-30.21999074
Sample3,Bangladesh,NA,NA,0,-4.969003003,-31.17453532
Sample4,Bangladesh,NA,NA,0,-4.070002923,-25.44687246
Sample5,Bangladesh,NA,NA,2.353056,-5.759373365,-44.08668854
Sample6,Bangladesh,NA,NA,2.353056,-6.268405844,-50.01126719
Sample7,Bangladesh,NA,NA,2.602992,-6.648798327,-46.16985285
Sample8,Bangladesh,NA,NA,2.602992,-6.851305819,-52.08410368
Sample9,India,88.58636667,23.02038333,2.7432,-2.1413328,-15.00122155
Sample10,Bangladesh,NA,NA,3.102864,-4.670958411,-33.80597678
Sample11,Bangladesh,NA,NA,3.102864,-5.836255862,-43.83857895
Sample12,Bangladesh,NA,NA,3.602736,-3.697615952,-26.13501666
Sample13,Bangladesh,NA,NA,3.602736,-4.618698413,-31.98134452
Sample14,Bangladesh,NA,NA,3.81,-2.070018521,-14.05957495
Sample15,Bangladesh,NA,NA,4.1148,-2.344886009,-16.12808178
Sample16,Bangladesh,NA,NA,4.1148,-3.569980958,-26.68867767
Sample17,Bangladesh,NA,NA,4.66,-5.9,-37.7
Sample18,Bangladesh,NA,NA,4.8768,-2.609703498,-16.32054935
Sample19,Bangladesh,NA,NA,4.8768,-2.551413501,-17.48787935
Sample20,Bangladesh,NA,NA,5.34,-3.4,-17.6
Sample21,Bangladesh,NA,NA,5.63,-3.5,-21.1
Sample22,Bangladesh,NA,NA,5.6388,-2.459456004,-16.6715164
Sample23,Bangladesh,NA,NA,5.6388,-2.672013496,-18.09746324
Sample24,Bangladesh,NA,NA,5.8,-4.5,-32.6
Sample25,India,88.59305,23.02225,6.096,-3.42374816,-22.88859392
Sample26,India,88.58746667,23.0202,6.096,-4.5264392,-27.58287167
Sample27,Bangladesh,NA,NA,6.096,-2.267501013,-17.43695217
Sample28,Bangladesh,NA,NA,6.096,-2.730303493,-20.10554399
Sample29,Bangladesh,90.29723,23.53009,6.096,-2.313283037,-17.17651336
Sample30,Bangladesh,90.29716,23.5303,6.096,-2.546985004,-18.3325127
Sample31,Bangladesh,90.29697,23.53034,6.096,-1.954973384,-14.30442547
Sample32,Bangladesh,90.29662,23.53049,6.096,-1.966983764,-13.78360779
Sample33,Bangladesh,90.297,23.52977,6.096,-1.750296501,-12.07747707
Sample34,Bangladesh,90.29743,23.53026,6.096,-1.936457383,-14.59915863
Sample35,Bangladesh,90.29708,23.5302,6.096,-2.834320989,-20.03094181
Sample36,Bangladesh,90.29688,23.53018,6.096,-2.306777415,-15.36642606
Sample37,Bangladesh,NA,NA,6.096,-2.579553499,-19.04426706
Sample38,Bangladesh,91.102,22.852,7,-3.1,-25
Sample39,India,88.585472,23.019139,7.0104,-1.3401726,-9.290194533
Sample40,Bangladesh,NA,NA,7.29,-3.8,-22
Sample41,Bangladesh,90.8313,22.8533,7.3,-4,-32
Sample42,Bangladesh,90.8883,22.8173,7.6,-2,-15
Sample43,Bangladesh,90.29688,23.53018,7.62,-2.083584531,-14.26882486
Sample44,Bangladesh,90.29716,23.5303,7.62,-2.641566742,-16.80340178
Sample45,Bangladesh,90.29697,23.53034,7.62,-2.075577611,-14.66127497
Sample46,Bangladesh,90.29662,23.53049,7.62,-2.342808553,-15.53164688
Sample47,Bangladesh,90.297,23.52977,7.62,-2.597028251,-16.60660569
Sample48,Bangladesh,90.29743,23.53026,7.62,-2.306777415,-16.58013364
Sample49,Bangladesh,90.29708,23.5302,7.62,-2.151423518,-16.26226859
Sample50,India,88.3046,24.234,7.9,-4.28,-26.9
Sample51,Bangladesh,90.9375,22.9569,7.9,-3.8,-22
Sample52,Bangladesh,90.9592,22.9417,7.9,-2.4,-16
Sample53,Bangladesh,90.9372,22.8653,7.9,-2.4,-18
Sample54,Bangladesh,90.9006,22.9144,7.9,-2.8,-15
Sample55,Bangladesh,90.9142,22.8903,7.9,-4,-31
Sample56,Bangladesh,90.8828,22.9422,7.9,-2.5,-18
Sample57,Bangladesh,90.7767,22.9322,7.9,-4.2,-31
Sample58,Bangladesh,90.7786,22.9664,7.9,-4.8,-35
Sample59,Bangladesh,90.8644,22.9875,7.9,-2.6,-15
Sample60,Bangladesh,90.8583,22.9242,7.9,-4.3,-30
Sample61,Bangladesh,90.9406,22.9431,7.9,-2.3,-14
Sample62,Bangladesh,88.84,26.008,8,-2,-7
Sample63,Bangladesh,91.119,22.731,8,-3,-23
Sample64,Bangladesh,91.055,22.846,8,-4,-29
Sample65,Bangladesh,91.117,22.658,8,-3.3,-26
Sample66,Bangladesh,89.416,25.116,8,-2.5,-11
Sample67,Bangladesh,89.12,26.187,8,-5.6,-37
Sample68,Bangladesh,NA,NA,8.26,-5.2,-35.8
Sample69,Bangladesh,88.2715,24.569,8.4,-6.2,-41
Sample70,Bangladesh,88.979,22.965,8.5,-3.9,-25
Sample71,Bangladesh,88.2903,24.5761,8.5,-6.3,-47
Sample72,India,88.58636667,23.02038333,8.5344,-2.412008,-19.12506656
Sample73,India,88.58636667,23.02038333,8.5344,-2.8044654,-18.6401274
Sample74,Bangladesh,NA,NA,8.55,-3.6,-20.7
Sample75,Bangladesh,90.9827,22.9475,8.8,-3.7,-29
Sample76,Bangladesh,88.2677,24.5743,8.9,-6.2,-45
Sample77,Bangladesh,89.411,25.158,9,-4.1,-30
Sample78,Bangladesh,88.853,23.55,9,-6.6,-45
Sample79,Bangladesh,90.847,22.724,9,-3.1,-20
Sample80,Bangladesh,90.847,22.724,9,-3.1,-17
Sample81,India,NA,NA,9.1,-4.7,-29.85
Sample82,Bangladesh,88.306,24.584,9.1,-6,-40.3
Sample83,Bangladesh,90.8042,22.9806,9.1,-4.5,-32
Sample84,Bangladesh,90.8761,22.9544,9.1,-2.8,-18
Sample85,Bangladesh,90.9919,22.9458,9.1,-2.3,-11
Sample86,Bangladesh,90.9439,22.9239,9.1,-3.4,-20
Sample87,Bangladesh,90.9041,22.9258,9.1,-4.3,-34
Sample88,India,NA,NA,9.1,-5.52,-36.52
Sample89,India,88.58993333,23.02193333,9.144,-3.239499753,-21.66595833
Sample90,India,88.58726667,23.02035,9.144,-4.1477336,-25.36104477
Sample91,India,88.58746667,23.0202,9.144,-4.3172792,-26.8572388
Sample92,Bangladesh,NA,NA,9.144,-2.613220998,-19.13628263
Sample93,Bangladesh,NA,NA,9.144,-2.482571004,-16.76657004
